;neurons;Solver;Learning rate;Lr initial;Max iteracoes;imgs treino;imgs teste;Alpha;Train Score;Test Score
;500;sgd;adaptive;0.01;1000;10000;1000;0.01;1.0;0,0766
;1000;sgd;adaptive;0.01;1000;10000;1000;0.01;1.0;0,0780
;1000;sgd;adaptive;0.01;37;10000;1000;0.1;0.9518;0,0766
;1000;sgd;adaptive;0.01;29;10000;1000;0.1;0.9334;0,072
;1000;sgd;adaptive;0.01;10;10000;1000;0.1;0.5939;0,066
;100;sgd;adaptive;0.01;10;10000;1000;0.1;0.4265;0,0728
;100;sgd;adaptive;0.01;50;10000;1000;0.1;0.9435;0,0836
;10;sgd;adaptive;0.01;10;10000;1000;0.1;0.5889;0,066
;50;sgd;adaptive;0.01;80;10000;1000;0.1;0.8187;0,052
;50;sgd;adaptive;0.01;50;10000;1000;0.1;0.6892;0,057
;100;sgd;adaptive;0.01;20;10000;1000;0.1;0.5696;0,069
;100;sgd;adaptive;0.01;50;10000;1000;0.1;0.9334;0,054
;100;sgd;adaptive;0.01;20;10000;1000;0.01;0.6568;0,065
;100, 100;sgd;adaptive;0.01;20;10000;1000;0.01;0.4831;0,08
;150, 100;sgd;adaptive;0.01;20;10000;1000;0.01;0.6485;0,066
;10, 10;sgd;adaptive;0.01;20;10000;1000;0.01;0,272;0,073
;10, 10;sgd;adaptive;0.01;100;10000;1000;0.01;0,501;0,042
;10, 10;sgd;adaptive;0.01;10;50000;10000;0.01;0,24;0,069
;10, 10;sgd;adaptive;0.01;10000;50000;10000;0.01;0,4621;0,066
;;;;;;;;;;
;;;;;;;;;;